,Subject,Lecture,Ch1,Ch2,Cor,Band
168,DJ01,Robo,FP1,F3,0.1956178702015541,Beta
169,DJ01,Robo,FP1,C3,0.14869375544901453,Beta
170,DJ01,Robo,FP1,PZ,0.08705652094945637,Beta
171,DJ01,Robo,FP1,C4,0.23677848888984604,Beta
172,DJ01,Robo,FP1,F4,0.5917499428282561,Beta
173,DJ01,Robo,FP1,FP2,0.9518418663621712,Beta
174,DJ01,Robo,F3,C3,0.5130453213078746,Beta
175,DJ01,Robo,F3,PZ,0.02751946757302577,Beta
176,DJ01,Robo,F3,C4,0.002186639256260058,Beta
177,DJ01,Robo,F3,F4,0.004117401404683793,Beta
178,DJ01,Robo,F3,FP2,0.1141247462189396,Beta
179,DJ01,Robo,C3,PZ,0.18934425667092586,Beta
180,DJ01,Robo,C3,C4,0.008431214663188195,Beta
181,DJ01,Robo,C3,F4,0.05630144119478012,Beta
182,DJ01,Robo,C3,FP2,0.07646472093091425,Beta
183,DJ01,Robo,PZ,C4,0.16998463074119893,Beta
184,DJ01,Robo,PZ,F4,0.033376605013227756,Beta
185,DJ01,Robo,PZ,FP2,0.07630180344991853,Beta
186,DJ01,Robo,C4,F4,0.05262102962018204,Beta
187,DJ01,Robo,C4,FP2,0.41618384038647466,Beta
188,DJ01,Robo,F4,FP2,0.6016063164393699,Beta
189,DJ02,Desi,FP1,F3,0.8357527315313605,Theta
190,DJ02,Desi,FP1,C3,0.3196108177987519,Theta
191,DJ02,Desi,FP1,PZ,0.13841351211617525,Theta
192,DJ02,Desi,FP1,C4,0.18505413865879633,Theta
193,DJ02,Desi,FP1,F4,0.5352334221484023,Theta
194,DJ02,Desi,FP1,FP2,0.9667313351024769,Theta
195,DJ02,Desi,F3,C3,0.16150280946229653,Theta
196,DJ02,Desi,F3,PZ,0.016810054004268306,Theta
197,DJ02,Desi,F3,C4,0.01433612045235905,Theta
198,DJ02,Desi,F3,F4,0.2553679742237428,Theta
199,DJ02,Desi,F3,FP2,0.8468347740090811,Theta
200,DJ02,Desi,C3,PZ,0.4027885728602296,Theta
201,DJ02,Desi,C3,C4,0.2199187244005232,Theta
202,DJ02,Desi,C3,F4,0.05408879456118849,Theta
203,DJ02,Desi,C3,FP2,0.3508961386496464,Theta
204,DJ02,Desi,PZ,C4,0.3437248088899624,Theta
205,DJ02,Desi,PZ,F4,0.022049877592347625,Theta
206,DJ02,Desi,PZ,FP2,0.13093806238252892,Theta
207,DJ02,Desi,C4,F4,0.21609554896176641,Theta
208,DJ02,Desi,C4,FP2,0.23098003085243152,Theta
209,DJ02,Desi,F4,FP2,0.4146366652858038,Theta
210,DJ02,Desi,FP1,F3,0.8048883721999334,Alpha
211,DJ02,Desi,FP1,C3,0.24878453749883844,Alpha
212,DJ02,Desi,FP1,PZ,0.10111650160982932,Alpha
213,DJ02,Desi,FP1,C4,0.14239073528772744,Alpha
214,DJ02,Desi,FP1,F4,0.4581206474078037,Alpha
215,DJ02,Desi,FP1,FP2,0.942557849410049,Alpha
216,DJ02,Desi,F3,C3,0.14387501099186947,Alpha
217,DJ02,Desi,F3,PZ,0.010244629970595002,Alpha
218,DJ02,Desi,F3,C4,0.006444823825373288,Alpha
219,DJ02,Desi,F3,F4,0.13610841816791958,Alpha
220,DJ02,Desi,F3,FP2,0.8459991131721379,Alpha
221,DJ02,Desi,C3,PZ,0.29108693270381797,Alpha
222,DJ02,Desi,C3,C4,0.07422042048107232,Alpha
223,DJ02,Desi,C3,F4,0.021646775594162743,Alpha
224,DJ02,Desi,C3,FP2,0.2699761088362113,Alpha
225,DJ02,Desi,PZ,C4,0.25426137220807526,Alpha
226,DJ02,Desi,PZ,F4,0.011141055948442492,Alpha
227,DJ02,Desi,PZ,FP2,0.09489353338255307,Alpha
228,DJ02,Desi,C4,F4,0.16404750981644095,Alpha
229,DJ02,Desi,C4,FP2,0.1960125336150835,Alpha
230,DJ02,Desi,F4,FP2,0.2809653648208414,Alpha
231,DJ02,Desi,FP1,F3,0.7783555777820025,Beta
232,DJ02,Desi,FP1,C3,0.24392182384647973,Beta
233,DJ02,Desi,FP1,PZ,0.06723202826624267,Beta
234,DJ02,Desi,FP1,C4,0.09617701184658614,Beta
235,DJ02,Desi,FP1,F4,0.28741697739800165,Beta
236,DJ02,Desi,FP1,FP2,0.916663149553111,Beta
237,DJ02,Desi,F3,C3,0.1679825015211161,Beta
