,Feature,Correlation,P
149,HRV_RMSSD-M-HRV_HTI,0.16634478336104438,2.142784780134717e-06
150,HRV_RMSSD-D-HRV_HTI,0.24839660393704965,9.325450649090366e-13
151,HRV_RMSSD-D-HRV_LF,0.2767237202681823,1.3957517185405676e-15
152,HRV_RMSSD-M-HRV_HFn,0.1462574052805049,3.1759442627346585e-05
153,HRV_RMSSD-M-HRV_PAS,0.23121724945029928,3.3133478910667975e-11
154,HRV_RMSSD-D-HRV_PAS,0.18645030008917401,1.0263540759140153e-07
155,HRV_RMSSD-D-HRV_SD2d,0.07891137430158926,0.025342855877203373
156,HRV_RMSSD-D-HRV_SD2a,0.08186630499996111,0.020332873262743228
157,HRV_RMSSD-D-HRV_SampEn,0.27186435319298746,4.5047073001409445e-15
158,HRV_RMSSD-M-HRV_MSE,0.07912074970891086,0.02495569158902304
159,HRV_RMSSD-M-HRV_CMSE,0.13725077300584904,9.550753165215317e-05
160,HRV_RMSSD-D-HRV_CMSE,0.19834458044077197,1.4431205814252998e-08
161,HRV_RMSSD-M-HRV_DFA,0.24735062460157634,1.168237624358322e-12
162,HRV_RMSSD-D-HRV_DFA,0.17305757459914745,8.072431766830906e-07
163,HRV_MeanNN-D-HRV_CVNN,0.39216280863976627,6.430616514108326e-31
164,HRV_MeanNN-D-HRV_MedianNN,0.3657919206156891,7.918678010783551e-27
165,HRV_MeanNN-D-HRV_MCVNN,0.1227234758084193,0.0004913798883601153
166,HRV_MeanNN-D-HRV_IQRNN,0.15679435423302196,8.050457575428513e-06
167,HRV_MeanNN-D-HRV_pNN50,0.18491962611787657,1.3093578087554063e-07
168,HRV_MeanNN-D-HRV_pNN20,0.1345141488197087,0.00013172435837225814
169,HRV_MeanNN-M-HRV_HTI,0.07683561548595329,0.02947028617898736
170,HRV_MeanNN-M-HRV_HFn,0.1541044979788033,1.1528289740739734e-05
171,HRV_MeanNN-D-HRV_SD1SD2,0.11720198793668796,0.0008763431899710942
172,HRV_MeanNN-M-HRV_PIP,0.07249940828722681,0.039981767571530526
173,HRV_MeanNN-M-HRV_MSE,0.21100839559237813,1.5584533475896953e-09
174,HRV_MeanNN-M-HRV_DFA,0.13861231380348907,8.120629386714029e-05
175,HRV_MeanNN-D-HRV_DFA,0.07421829804521243,0.035486120645733574
176,HRV_SDNN-D-HRV_SD1d,0.10737306609737159,0.002313452774761785
177,HRV_CVNN-D-HRV_MadNN,0.20510098315978198,4.480241635073346e-09
178,HRV_CVNN-D-HRV_IQRNN,0.176853837712935,4.5696718349150177e-07
179,HRV_CVNN-M-HRV_HFn,0.1785768326796745,3.5153117409300585e-07
180,HRV_CVNN-D-HRV_SD2a,0.07074642935903216,0.04505418079689041
181,HRV_CVSD-D-HRV_SD2d,0.08045819348146674,0.022601159502673267
182,HRV_CVSD-D-HRV_SD2a,0.11974132536645976,0.000673624623068023
183,HRV_MedianNN-D-HRV_pNN20,0.07930947081203124,0.024611111094953494
184,HRV_MedianNN-D-HRV_CVI,0.2932598739783273,2.167004617167093e-17
185,HRV_MedianNN-M-HRV_PIP,0.09271295819911933,0.00856862421957484
186,HRV_MedianNN-M-HRV_C1d,0.12813551447631008,0.0002722479254347346
187,HRV_MedianNN-D-HRV_C1d,0.07927556153330018,0.02467272014945448
188,HRV_MedianNN-D-HRV_C2d,0.091520997870765,0.009462907132587368
189,HRV_MedianNN-D-HRV_Cd,0.11441601955134323,0.0011627784842715224
190,HRV_MadNN-D-HRV_IQRNN,0.17086650703193224,1.11483534080209e-06
191,HRV_MadNN-D-HRV_HTI,0.1256098840796736,0.00035966817198273746
192,HRV_MadNN-D-HRV_LF,0.2636523644437232,3.094249541709196e-14
193,HRV_MadNN-D-HRV_LFHF,0.1603874265882085,4.936713392075308e-06
194,HRV_MadNN-M-HRV_LFn,0.16183480398184974,4.041695755733233e-06
195,HRV_MadNN-D-HRV_LFn,0.14575340037777607,3.3836800517290334e-05
196,HRV_MadNN-M-HRV_LnHF,0.22250201130379252,1.8253414370665738e-10
197,HRV_MadNN-D-HRV_LnHF,0.15660024489402624,8.263448611252401e-06
198,HRV_MadNN-D-HRV_S,0.3049496697366207,9.626033218324416e-19
199,HRV_MadNN-M-HRV_PAS,0.11205215179749697,0.001471101371027406
200,HRV_MadNN-D-HRV_ApEn,0.09021435774201059,0.01053785240037586
201,HRV_MadNN-M-HRV_SampEn,0.09944723969267599,0.004792396463628413
202,HRV_MadNN-D-HRV_SampEn,0.3170269480855074,3.314898526780223e-20
203,HRV_MadNN-M-HRV_MSE,0.07315573116561602,0.03821130241083259
204,HRV_MadNN-D-HRV_CMSE,0.15274502683463909,1.3790820112819567e-05
205,HRV_MadNN-M-HRV_DFA,0.1309199352936275,0.00019910030190651
206,HRV_MadNN-M-HRV_CorrDim,0.1417717335324106,5.5411772087567296e-05
207,HRV_MCVNN-D-HRV_IQRNN,0.08166102418662236,0.02065068795761562
208,HRV_MCVNN-D-HRV_ApEn,0.1478764404113641,2.5874339770085978e-05
209,HRV_MCVNN-D-HRV_SampEn,0.3471500256111842,3.710790781135627e-24
210,HRV_MCVNN-M-HRV_DFA,0.1818469992016123,2.1218207125440847e-07
211,HRV_IQRNN-D-HRV_HTI,0.1960097200066624,2.141849170043641e-08
212,HRV_IQRNN-M-HRV_PAS,0.1814961342691302,2.2409085824145456e-07
213,HRV_IQRNN-D-HRV_ApEn,0.17962741955221306,2.9919852977794745e-07
214,HRV_IQRNN-D-HRV_SampEn,0.3290808920397528,9.819323879754524e-22
215,HRV_IQRNN-M-HRV_DFA,0.19583198826184162,2.2067716163906158e-08
216,HRV_pNN50-M-HRV_HTI,0.13488109297603007,0.00012621068832318147
217,HRV_pNN50-M-HRV_SD1SD2,0.09650365681366839,0.006204402405146279
218,HRV_pNN50-D-HRV_CVI,0.2185809976780067,3.845131183764126e-10
219,HRV_pNN50-M-HRV_C1d,0.09532669716330734,0.006866568132406276
220,HRV_pNN50-D-HRV_C2d,0.07151608669305082,0.04276403797558428
221,HRV_pNN50-D-HRV_ApEn,0.07866790369398767,0.025799581311791678
222,HRV_pNN20-D-HRV_HTI,0.08518364192970823,0.015756818880486884
223,HRV_pNN20-D-HRV_CVI,0.2978851886633331,6.428929935086804e-18
224,HRV_pNN20-D-HRV_PI,0.0823814308537364,0.019554044735542123
225,HRV_pNN20-M-HRV_C1d,0.0967757902542825,0.006059714476274761
226,HRV_pNN20-M-HRV_DFA,0.08722421001857625,0.013414990246765157
227,HRV_TINN-D-hr_mad,0.23679727753602423,1.0709812292637533e-11
228,HRV_TINN-D-breathingrate,0.1786086382563446,3.4982476557580645e-07
229,HRV_TINN-D-HRV_MadNN,0.19753712604241355,1.6551692746052015e-08
230,HRV_TINN-M-HRV_LF,0.09326067158033038,0.008183593642519258
231,HRV_TINN-D-HRV_LF,0.24773153498096717,1.0763305635016356e-12
232,HRV_TINN-M-HRV_HF,0.1477595831238942,2.626180411464323e-05
233,HRV_TINN-M-HRV_VHF,0.2576682526422004,1.208825870555791e-13
234,HRV_TINN-D-HRV_LFHF,0.08745485423123248,0.01317064888896283
235,HRV_TINN-D-HRV_LFn,0.2177054698182534,4.5324402629592305e-10
236,HRV_TINN-M-HRV_HFn,0.2159112041695576,6.335145571682411e-10
237,HRV_TINN-D-HRV_LnHF,0.18271045961913754,1.8541731964222527e-07
238,HRV_TINN-D-HRV_S,0.07972274765072233,0.02387086304919165
239,HRV_TINN-M-HRV_CMSE,0.20876348788214508,2.3365063703230537e-09
240,HRV_TINN-M-HRV_CorrDim,0.16772862052912296,1.7576386523921976e-06
241,HRV_HTI-D-HRV_LF,0.19753234122375413,1.656511650063471e-08
242,HRV_HTI-D-HRV_LFHF,0.21408327975454966,8.88402606970227e-10
243,HRV_HTI-M-HRV_LFn,0.1291642124609611,0.00024270179795608565
244,HRV_HTI-M-HRV_HFn,0.1891350827587169,6.662923776368548e-08
245,HRV_HTI-M-HRV_LnHF,0.18597765572412234,1.1067467306503839e-07
246,HRV_HTI-D-HRV_LnHF,0.31300736984929434,1.0348931967356419e-19
247,HRV_HTI-M-HRV_SD1SD2,0.13800295869393747,8.733716666012713e-05
248,HRV_HTI-D-HRV_SD1SD2,0.07523191183123841,0.033042520197498725
249,HRV_HTI-D-HRV_PAS,0.11089766562880188,0.001647560766234399
250,HRV_HTI-M-HRV_C2d,0.11425216927280281,0.0011820567088103285
251,HRV_HTI-D-HRV_ApEn,0.10097278160692053,0.004181205361320416
252,HRV_HTI-M-HRV_SampEn,0.27476518166837216,2.2445451625353763e-15
253,HRV_HTI-D-HRV_SampEn,0.20996070117187854,1.8837247343127265e-09
254,HRV_HTI-M-HRV_MSE,0.23447273259782342,1.7204313965854167e-11
255,HRV_HTI-M-HRV_CMSE,0.17016533157329713,1.2351100293915117e-06
256,HRV_HTI-D-HRV_DFA,0.178202868820309,3.7220596547935156e-07
257,HRV_HTI-M-HRV_CorrDim,0.2880303616009464,8.336573359321051e-17
258,HRV_HTI-D-HRV_CorrDim,0.17062623497774893,1.154723965248292e-06
259,HRV_LF-D-sdnn,0.2575432322728212,1.2432744836676117e-13
260,HRV_LF-D-hr_mad,0.13234829485258262,0.00016916665976968623
261,HRV_LF-D-breathingrate,0.24718719867445865,1.209986326425895e-12
262,HRV_LF-D-HRV_RMSSD,0.3361004370403632,1.1747282444941774e-22
263,HRV_LF-D-HRV_TINN,0.3171145456100308,3.233040925291178e-20
264,HRV_LF-D-HRV_HTI,0.18451873251666226,1.3951231678296805e-07
265,HRV_LF-M-HRV_S,0.11167274318347685,0.0015270771095916408
266,HRV_LF-M-HRV_PAS,0.22315020312788994,1.6116413113014503e-10
267,HRV_LF-M-HRV_CMSE,0.2634358929188049,3.252575722529089e-14
268,HRV_LF-D-HRV_CMSE,0.1210366864528209,0.0005878733202353286
269,HRV_LF-M-HRV_DFA,0.21661781920735768,5.554394803494577e-10
270,HRV_HF-D-hr_mad,0.20911719696225634,2.192735887091205e-09
271,HRV_HF-D-breathingrate,0.28616474302719164,1.3390337526980887e-16
272,HRV_HF-D-HRV_VHF,0.18280996910778202,1.8255083575548752e-07
273,HRV_HF-M-HRV_S,0.0802846610041997,0.022895350269121036
274,HRV_HF-D-HRV_SampEn,0.1739573171779544,7.061827731234159e-07
275,HRV_HF-D-HRV_CorrDim,0.24611703805691754,1.5218263230599716e-12
276,HRV_VHF-D-breathingrate,0.31604425936851477,4.385739092595289e-20
277,HRV_VHF-D-vlf,0.12399005807975051,0.0004288501576931731
278,HRV_VHF-D-HRV_LF,0.21034961903819843,1.75593202157169e-09
279,HRV_VHF-D-HRV_HF,0.18234861890526838,1.96211125523103e-07
280,HRV_VHF-M-HRV_LFHF,0.2853913757160812,1.6279979341495203e-16
281,HRV_VHF-M-HRV_MSE,0.33955077276920154,4.0539043257190335e-23
282,HRV_LFn-D-hr_mad,0.24020164416771528,5.300832378463175e-12
283,HRV_LFn-D-breathingrate,0.12217214164847434,0.0005211657632101047
284,HRV_LFn-D-HRV_MadNN,0.1552757422087398,9.86693598511441e-06
285,HRV_LFn-D-HRV_IQRNN,0.11402928762528804,0.0012087537918552787
286,HRV_LFn-M-HRV_HFn,0.1418216767924632,5.507441181135345e-05
287,HRV_LFn-D-HRV_S,0.2349590936686574,1.5586455382714898e-11
288,HRV_LFn-D-HRV_CSI_Modified,0.11282997173633957,0.001362200981898784
289,HRV_LFn-M-HRV_PAS,0.18384876898474653,1.5506935621073422e-07
290,HRV_LFn-D-HRV_PAS,0.15515505816601782,1.0026948293190136e-05
291,HRV_LFn-D-HRV_SampEn,0.24852819528453685,9.064131590752661e-13
292,HRV_LFn-M-HRV_CMSE,0.10247280872223041,0.0036499476806664414
293,HRV_LFn-D-HRV_DFA,0.12732066920977364,0.00029800526476808913
294,HRV_HFn-D-sdnn,0.13105707650672715,0.00019602395520362245
295,HRV_HFn-D-breathingrate,0.10693062117430724,0.002412519712211224
296,HRV_HFn-D-HRV_MadNN,0.10687872532078954,0.002424390099314198
297,HRV_HFn-D-HRV_LF,0.1292331283368674,0.00024083381529392688
298,HRV_HFn-D-HRV_VHF,0.1878665927912575,8.178141765926283e-08
299,HRV_HFn-M-HRV_LnHF,0.16123972671522066,4.389078191232263e-06
300,HRV_HFn-M-HRV_S,0.22767176807506115,6.68970729887749e-11
301,HRV_HFn-M-HRV_PAS,0.08251132233398947,0.019361814435635796
302,HRV_HFn-D-HRV_PAS,0.15588639951020192,9.093909068051585e-06
303,HRV_HFn-M-HRV_ApEn,0.15274725210030865,1.3786792736996745e-05
304,HRV_HFn-M-HRV_SampEn,0.3047903188328847,1.005310742312163e-18
305,HRV_HFn-D-HRV_SampEn,0.11408218652413551,0.0012023676438515213
306,HRV_HFn-M-HRV_MSE,0.2400552629484503,5.464800819412202e-12
307,HRV_HFn-M-HRV_CMSE,0.17313661341799025,7.978359842439536e-07
308,HRV_HFn-D-HRV_DFA,0.17712312398365276,4.3868520370471255e-07
309,HRV_HFn-M-HRV_CorrDim,0.2597956030891787,7.476628035746344e-14
310,HRV_HFn-D-HRV_CorrDim,0.13883650678893245,7.905459791739958e-05
311,HRV_LnHF-D-hr_mad,0.2430607421689101,2.9119112234118534e-12
312,HRV_LnHF-D-HRV_MadNN,0.15727197002848778,7.548456481078846e-06
313,HRV_LnHF-D-HRV_S,0.15566864332531072,9.362691605386138e-06
314,HRV_LnHF-D-HRV_CSI_Modified,0.07767677931260011,0.02773290321494139
315,HRV_LnHF-M-HRV_PAS,0.23188769050852848,2.8973353770953777e-11
316,HRV_LnHF-D-HRV_PAS,0.23453344687524363,1.6993720113659007e-11
317,HRV_LnHF-D-HRV_ApEn,0.26217261024357535,4.348156761527894e-14
318,HRV_LnHF-D-HRV_SampEn,0.26342903027869813,3.2577229357666296e-14
319,HRV_LnHF-M-HRV_MSE,0.10058789886489261,0.004328356853910867
320,HRV_LnHF-M-HRV_CMSE,0.16693784788489344,1.9687327384318494e-06
321,HRV_LnHF-D-HRV_CMSE,0.20193268717348223,7.79299280014508e-09
322,HRV_LnHF-M-HRV_DFA,0.2552270385033246,2.086731251855332e-13
323,HRV_LnHF-D-HRV_DFA,0.2155327493843675,6.796240309078604e-10
324,HRV_SD1SD2-D-HRV_CVI,0.23648206599303329,1.1424162511177528e-11
325,HRV_SD1SD2-D-HRV_PIP,0.10248596236926777,0.0036455732300367237
326,HRV_SD1SD2-D-HRV_PAS,0.08347450688655862,0.017987092302540857
327,HRV_SD1SD2-M-HRV_PI,0.08512946144263955,0.015823609567121765
328,HRV_SD1SD2-D-HRV_PI,0.09105916173448816,0.00983114993840755
329,HRV_SD1SD2-M-HRV_ApEn,0.07552482493341658,0.03236372359147252
330,HRV_SD1SD2-M-HRV_DFA,0.10653316297472834,0.002504802457599573
331,HRV_S-D-hr_mad,0.24595601531241323,1.5751008434663917e-12
332,HRV_S-D-HRV_LF,0.2438296484582424,2.4753706465200776e-12
333,HRV_S-M-HRV_CMSE,0.20655220585930265,3.46651117633456e-09
334,HRV_CSI-D-HRV_CMSE,0.14016190074329363,6.739354276571182e-05
335,HRV_CVI-M-HRV_PIP,0.25320598592618443,3.2649457483318323e-13
336,HRV_CVI-D-HRV_PIP,0.149201535536653,2.1843859221742086e-05
337,HRV_CVI-M-HRV_PSS,0.25271017495756176,3.641740409228864e-13
338,HRV_CVI-D-HRV_PSS,0.19186115423619443,4.2693665642827366e-08
339,HRV_CVI-M-HRV_PI,0.18481158533924014,1.3319567775494778e-07
340,HRV_CVI-D-HRV_PI,0.2534794594757369,3.073757611824162e-13
341,HRV_CVI-M-HRV_C1d,0.1690994637420536,1.4421055129091332e-06
342,HRV_CVI-D-HRV_C1d,0.1991287403552663,1.2625304584265609e-08
343,HRV_CVI-M-HRV_C2d,0.10538825854520346,0.00278893276192566
344,HRV_CVI-D-HRV_C2d,0.1603210429908817,4.982004915281698e-06
345,HRV_CVI-M-HRV_Cd,0.15504626705423247,1.0173309524666098e-05
346,HRV_CVI-D-HRV_Cd,0.28089488058600687,5.010092751162122e-16
347,HRV_CVI-D-HRV_ApEn,0.136138479398571,0.00010891957319310244
348,HRV_PIP-D-HRV_C1d,0.09531634372690477,0.006872664054214991
349,HRV_PIP-D-HRV_Cd,0.07803792201741241,0.02701447089221873
350,HRV_PSS-D-HRV_AI,0.12614709539229446,0.00033912742923661017
351,HRV_PSS-D-HRV_C1d,0.07884131166783637,0.025473564830942572
352,HRV_PSS-D-HRV_Cd,0.07831504199430092,0.02647411553417548
353,HRV_PAS-D-hr_mad,0.12872090123028138,0.00025504598589443014
354,HRV_PAS-D-HRV_C2d,0.07049424989499456,0.045826648488579376
355,HRV_PAS-M-HRV_SampEn,0.2322876353594725,2.6739502508565552e-11
