Subject,Lecture,Ch1,Ch2,Cor,Band
DJ02,Robo,PZ,C4,0.3129526058308881,Alpha
DJ02,Robo,PZ,F4,0.2407246224360682,Alpha
DJ02,Robo,PZ,FP2,0.2674272433805195,Alpha
DJ02,Robo,C4,F4,0.5082433180603378,Alpha
DJ02,Robo,C4,FP2,0.5745540208818223,Alpha
DJ02,Robo,F4,FP2,0.9617770902040887,Alpha
DJ02,Robo,FP1,F3,0.8756098841981994,Beta
DJ02,Robo,FP1,C3,0.0698482366279379,Beta
DJ02,Robo,FP1,PZ,0.0257376071954132,Beta
DJ02,Robo,FP1,C4,0.0136791430565437,Beta
DJ02,Robo,FP1,F4,0.7356698317909887,Beta
DJ02,Robo,FP1,FP2,0.668031288403676,Beta
DJ02,Robo,F3,C3,0.1872341805073881,Beta
DJ02,Robo,F3,PZ,0.0246218737150449,Beta
DJ02,Robo,F3,C4,0.0381569579190843,Beta
DJ02,Robo,F3,F4,0.5591890384343138,Beta
DJ02,Robo,F3,FP2,0.4151249467882569,Beta
DJ02,Robo,C3,PZ,0.2404311270120751,Beta
DJ02,Robo,C3,C4,0.0292871476761417,Beta
DJ02,Robo,C3,F4,0.1732879414855673,Beta
DJ02,Robo,C3,FP2,0.0729767516497144,Beta
DJ02,Robo,PZ,C4,0.2693817442183669,Beta
DJ02,Robo,PZ,F4,0.1341169656916964,Beta
DJ02,Robo,PZ,FP2,0.1468860530425777,Beta
DJ02,Robo,C4,F4,0.2921996223054008,Beta
DJ02,Robo,C4,FP2,0.3963813646871767,Beta
DJ02,Robo,F4,FP2,0.9602571739707167,Beta
DJ03,Desi,FP1,F3,0.7597787731194102,Theta
DJ03,Desi,FP1,C3,0.6017215548528734,Theta
DJ03,Desi,FP1,PZ,0.6771301211664122,Theta
DJ03,Desi,FP1,C4,0.8973905002040421,Theta
DJ03,Desi,FP1,F4,0.7273883266314471,Theta
DJ03,Desi,FP1,FP2,0.9811556053769506,Theta
DJ03,Desi,F3,C3,0.525875948437652,Theta
DJ03,Desi,F3,PZ,0.3595883643783805,Theta
DJ03,Desi,F3,C4,0.5503999100252714,Theta
DJ03,Desi,F3,F4,0.568203594183152,Theta
DJ03,Desi,F3,FP2,0.8488503845959621,Theta
DJ03,Desi,C3,PZ,0.6572221673224359,Theta
DJ03,Desi,C3,C4,0.6637284278505522,Theta
DJ03,Desi,C3,F4,0.25687767444987486,Theta
DJ03,Desi,C3,FP2,0.6320750278565769,Theta
DJ03,Desi,PZ,C4,0.8557036567105889,Theta
DJ03,Desi,PZ,F4,0.2406035902799933,Theta
DJ03,Desi,PZ,FP2,0.6328923751907,Theta
DJ03,Desi,C4,F4,0.5528277721112242,Theta
DJ03,Desi,C4,FP2,0.8474618618869336,Theta
DJ03,Desi,F4,FP2,0.7111048047258182,Theta
DJ03,Desi,FP1,F3,0.5742700312182498,Alpha
DJ03,Desi,FP1,C3,0.40775200564927455,Alpha
DJ03,Desi,FP1,PZ,0.528114210521888,Alpha
DJ03,Desi,FP1,C4,0.8103748854170487,Alpha
DJ03,Desi,FP1,F4,0.5845590711481378,Alpha
DJ03,Desi,FP1,FP2,0.9638152558829685,Alpha
DJ03,Desi,F3,C3,0.35992438955957984,Alpha
DJ03,Desi,F3,PZ,0.14309708505292176,Alpha
DJ03,Desi,F3,C4,0.31018927117656947,Alpha
DJ03,Desi,F3,F4,0.3503072401888908,Alpha
DJ03,Desi,F3,FP2,0.7235781724354324,Alpha
DJ03,Desi,C3,PZ,0.3785505202446591,Alpha
DJ03,Desi,C3,C4,0.4769390133224193,Alpha
DJ03,Desi,C3,F4,0.13292984864973284,Alpha
DJ03,Desi,C3,FP2,0.4498168655118071,Alpha
DJ03,Desi,PZ,C4,0.7412396052540724,Alpha
DJ03,Desi,PZ,F4,0.058949254775036694,Alpha
DJ03,Desi,PZ,FP2,0.4649287990270209,Alpha
DJ03,Desi,C4,F4,0.3643208050001443,Alpha
DJ03,Desi,C4,FP2,0.7284695603110669,Alpha
DJ03,Desi,F4,FP2,0.551663566673437,Alpha
DJ03,Desi,FP1,F3,0.34748019051792006,Beta
DJ03,Desi,FP1,C3,0.2577485706099372,Beta
DJ03,Desi,FP1,PZ,0.40254464691444053,Beta
DJ03,Desi,FP1,C4,0.7476264432608699,Beta
DJ03,Desi,FP1,F4,0.5558490320228984,Beta
DJ03,Desi,FP1,FP2,0.9385767328619643,Beta
DJ03,Desi,F3,C3,0.2642421903988824,Beta
DJ03,Desi,F3,PZ,0.0530999540543002,Beta
DJ03,Desi,F3,C4,0.12022216756684115,Beta
DJ03,Desi,F3,F4,0.0892855760394073,Beta
DJ03,Desi,F3,FP2,0.5231479392118223,Beta
DJ03,Desi,C3,PZ,0.26556694909714934,Beta
DJ03,Desi,C3,C4,0.26458751953809867,Beta
DJ03,Desi,C3,F4,0.023983512737496798,Beta
DJ03,Desi,C3,FP2,0.29645788013517954,Beta
DJ03,Desi,PZ,C4,0.646943257809422,Beta
DJ03,Desi,PZ,F4,0.0207322229558958,Beta
DJ03,Desi,PZ,FP2,0.33392967279872277,Beta
DJ03,Desi,C4,F4,0.3520307636557982,Beta
DJ03,Desi,C4,FP2,0.626002850815326,Beta
DJ03,Desi,F4,FP2,0.46677780110380496,Beta
DJ03,Prog,FP1,F3,0.7597787731194102,Theta
DJ03,Prog,FP1,C3,0.6017215548528734,Theta
DJ03,Prog,FP1,PZ,0.6771301211664122,Theta
DJ03,Prog,FP1,C4,0.8973905002040421,Theta
DJ03,Prog,FP1,F4,0.7273883266314471,Theta
DJ03,Prog,FP1,FP2,0.9811556053769506,Theta
DJ03,Prog,F3,C3,0.525875948437652,Theta
DJ03,Prog,F3,PZ,0.3595883643783805,Theta
DJ03,Prog,F3,C4,0.5503999100252714,Theta
DJ03,Prog,F3,F4,0.568203594183152,Theta
DJ03,Prog,F3,FP2,0.8488503845959621,Theta
DJ03,Prog,C3,PZ,0.6572221673224359,Theta
DJ03,Prog,C3,C4,0.6637284278505522,Theta
DJ03,Prog,C3,F4,0.25687767444987486,Theta
DJ03,Prog,C3,FP2,0.6320750278565769,Theta
DJ03,Prog,PZ,C4,0.8557036567105889,Theta
DJ03,Prog,PZ,F4,0.2406035902799933,Theta
DJ03,Prog,PZ,FP2,0.6328923751907,Theta
DJ03,Prog,C4,F4,0.5528277721112242,Theta
DJ03,Prog,C4,FP2,0.8474618618869336,Theta
DJ03,Prog,F4,FP2,0.7111048047258182,Theta
DJ03,Prog,FP1,F3,0.5742700312182498,Alpha
DJ03,Prog,FP1,C3,0.40775200564927455,Alpha
DJ03,Prog,FP1,PZ,0.528114210521888,Alpha
DJ03,Prog,FP1,C4,0.8103748854170487,Alpha
DJ03,Prog,FP1,F4,0.5845590711481378,Alpha
DJ03,Prog,FP1,FP2,0.9638152558829685,Alpha
DJ03,Prog,F3,C3,0.35992438955957984,Alpha
DJ03,Prog,F3,PZ,0.14309708505292176,Alpha
DJ03,Prog,F3,C4,0.31018927117656947,Alpha
DJ03,Prog,F3,F4,0.3503072401888908,Alpha
DJ03,Prog,F3,FP2,0.7235781724354324,Alpha
DJ03,Prog,C3,PZ,0.3785505202446591,Alpha
DJ03,Prog,C3,C4,0.4769390133224193,Alpha
DJ03,Prog,C3,F4,0.13292984864973284,Alpha
DJ03,Prog,C3,FP2,0.4498168655118071,Alpha
DJ03,Prog,PZ,C4,0.7412396052540724,Alpha
DJ03,Prog,PZ,F4,0.058949254775036694,Alpha
DJ03,Prog,PZ,FP2,0.4649287990270209,Alpha
DJ03,Prog,C4,F4,0.3643208050001443,Alpha
DJ03,Prog,C4,FP2,0.7284695603110669,Alpha
DJ03,Prog,F4,FP2,0.551663566673437,Alpha
DJ03,Prog,FP1,F3,0.34748019051792006,Beta
DJ03,Prog,FP1,C3,0.2577485706099372,Beta
DJ03,Prog,FP1,PZ,0.40254464691444053,Beta
DJ03,Prog,FP1,C4,0.7476264432608699,Beta
