,Subject,Lecture,Ch,Band,Power
200,DT03,Robo,C4,Alpha,0.41353815898156576
201,DT03,Robo,F4,Alpha,1.2633015045975968
202,DT03,Robo,FP2,Alpha,1.0340492397039944
203,DT03,Robo,FP1,Beta,1.5456443781299656
204,DT03,Robo,F3,Beta,2.621604189270119
205,DT03,Robo,C3,Beta,1.5752428733192305
206,DT03,Robo,PZ,Beta,3.211464936997218
207,DT03,Robo,C4,Beta,0.8789294624020365
208,DT03,Robo,F4,Beta,3.3090425481495127
209,DT03,Robo,FP2,Beta,2.4573723331423816
210,EJ01,Robo,FP1,Theta,3.1418973003801707
211,EJ01,Robo,F3,Theta,4.602113146719242
212,EJ01,Robo,C3,Theta,5.917816604269612
213,EJ01,Robo,PZ,Theta,7.132454590490259
214,EJ01,Robo,C4,Theta,5.8035033518963814
215,EJ01,Robo,F4,Theta,4.094242694262177
216,EJ01,Robo,FP2,Theta,1.9084605874822984
217,EJ01,Robo,FP1,Alpha,1.0320439033517144
218,EJ01,Robo,F3,Alpha,1.7694428614576094
219,EJ01,Robo,C3,Alpha,2.2064240754316615
220,EJ01,Robo,PZ,Alpha,2.4535920685039154
221,EJ01,Robo,C4,Alpha,2.050755944752897
222,EJ01,Robo,F4,Alpha,1.6880394005741999
223,EJ01,Robo,FP2,Alpha,0.7942272023796704
224,EJ01,Robo,FP1,Beta,1.5271619235868539
225,EJ01,Robo,F3,Beta,5.1481600244410215
226,EJ01,Robo,C3,Beta,2.8157781175013605
227,EJ01,Robo,PZ,Beta,3.336488216930772
228,EJ01,Robo,C4,Beta,2.675744279757084
229,EJ01,Robo,F4,Beta,7.6419094049544425
230,EJ01,Robo,FP2,Beta,2.0240558001928575
231,ES01,Robo,FP1,Theta,3.953424195814858
232,ES01,Robo,F3,Theta,3.592996638479735
233,ES01,Robo,C3,Theta,4.2760985365132775
234,ES01,Robo,PZ,Theta,5.329772895318568
235,ES01,Robo,C4,Theta,5.1527407412920185
236,ES01,Robo,F4,Theta,3.4739414382654275
237,ES01,Robo,FP2,Theta,3.7245603711853845
238,ES01,Robo,FP1,Alpha,2.0151709461385687
239,ES01,Robo,F3,Alpha,1.966520115180137
240,ES01,Robo,C3,Alpha,4.062584380693177
241,ES01,Robo,PZ,Alpha,4.192420284741181
242,ES01,Robo,C4,Alpha,5.070332311658396
243,ES01,Robo,F4,Alpha,2.571476198574172
244,ES01,Robo,FP2,Alpha,2.0929021493246274
245,ES01,Robo,FP1,Beta,2.010294996997063
246,ES01,Robo,F3,Beta,2.316164331701909
247,ES01,Robo,C3,Beta,2.169314903810785
248,ES01,Robo,PZ,Beta,2.4487952890273514
249,ES01,Robo,C4,Beta,2.3805426000517733
250,ES01,Robo,F4,Beta,2.6520305108668345
251,ES01,Robo,FP2,Beta,1.8183479579855475
252,ES02,Robo,FP1,Theta,1.1745531965724634
253,ES02,Robo,F3,Theta,2.935147569774019
254,ES02,Robo,C3,Theta,3.474924701427842
255,ES02,Robo,PZ,Theta,16.31040018279986
256,ES02,Robo,C4,Theta,4.59121728275044
257,ES02,Robo,F4,Theta,2.9128862002507203
258,ES02,Robo,FP2,Theta,1.2105436007797739
259,ES02,Robo,FP1,Alpha,0.9993448815865151
260,ES02,Robo,F3,Alpha,2.2060828584082866
261,ES02,Robo,C3,Alpha,2.8354540751525024
262,ES02,Robo,PZ,Alpha,31.28562664262004
