Subject,Lecture,Ch,Band,Power
DT01,Robo,C4,Theta,1.5884571082716097
DT01,Robo,F4,Theta,1.5087064248505184
DT01,Robo,FP2,Theta,1.2722918872784545
DT01,Robo,FP1,Alpha,0.624908925151183
DT01,Robo,F3,Alpha,0.5864573360386433
DT01,Robo,C3,Alpha,1.1749147559692794
DT01,Robo,PZ,Alpha,1.694250945904498
DT01,Robo,C4,Alpha,0.6896254625715506
DT01,Robo,F4,Alpha,0.6111899104072723
DT01,Robo,FP2,Alpha,0.5086561382975411
DT01,Robo,FP1,Beta,0.8291864388441708
DT01,Robo,F3,Beta,0.8628035965214313
DT01,Robo,C3,Beta,1.3243583189151371
DT01,Robo,PZ,Beta,1.849093080617902
DT01,Robo,C4,Beta,1.023700807339987
DT01,Robo,F4,Beta,0.9303363060645927
DT01,Robo,FP2,Beta,0.6589240236935248
ES01,Desi,FP1,Theta,3.953424195814858
ES01,Desi,F3,Theta,3.592996638479735
ES01,Desi,C3,Theta,4.2760985365132775
ES01,Desi,PZ,Theta,5.329772895318568
ES01,Desi,C4,Theta,5.1527407412920185
ES01,Desi,F4,Theta,3.4739414382654275
ES01,Desi,FP2,Theta,3.724560371185385
ES01,Desi,FP1,Alpha,2.0151709461385687
ES01,Desi,F3,Alpha,1.966520115180137
ES01,Desi,C3,Alpha,4.062584380693177
ES01,Desi,PZ,Alpha,4.192420284741181
ES01,Desi,C4,Alpha,5.070332311658396
ES01,Desi,F4,Alpha,2.571476198574172
ES01,Desi,FP2,Alpha,2.092902149324628
ES01,Desi,FP1,Beta,2.010294996997063
ES01,Desi,F3,Beta,2.316164331701909
ES01,Desi,C3,Beta,2.169314903810785
ES01,Desi,PZ,Beta,2.4487952890273514
ES01,Desi,C4,Beta,2.3805426000517733
ES01,Desi,F4,Beta,2.6520305108668345
ES01,Desi,FP2,Beta,1.8183479579855475
ES01,Prog,FP1,Theta,3.953424195814858
ES01,Prog,F3,Theta,3.592996638479735
ES01,Prog,C3,Theta,4.2760985365132775
ES01,Prog,PZ,Theta,5.329772895318568
ES01,Prog,C4,Theta,5.1527407412920185
ES01,Prog,F4,Theta,3.4739414382654275
ES01,Prog,FP2,Theta,3.724560371185385
ES01,Prog,FP1,Alpha,2.0151709461385687
ES01,Prog,F3,Alpha,1.966520115180137
